epoch,lr,time,loss
0,3.125e-05,16:26:58,3.173809845186652
1,6.25e-05,16:27:15,2.3204786788806517
2,0.000125,16:27:29,1.5279783379194631
3,0.00025,16:27:45,1.0237517038679516
4,0.0005,16:28:00,0.8261576495466166
5,0.001,16:28:17,0.7315385527979491
6,0.001,16:28:36,0.6220532972966472
7,0.001,16:28:51,0.5483806203016369
8,0.001,16:29:06,0.5111826421677651
9,0.001,16:29:19,0.4699734018421641
10,0.001,16:29:32,0.42766390959534895
11,0.001,16:29:46,0.4007219957596588
12,0.001,16:29:59,0.3782894247736379
13,0.001,16:30:12,0.3535657046924732
14,0.001,16:30:25,0.3513466928538305
15,0.001,16:30:39,0.32376166518393534
16,0.001,16:30:53,0.31069434584035366
17,0.001,16:31:06,0.29096380811582856
18,0.001,16:31:19,0.2901403409941976
19,0.001,16:31:32,0.2816488625438133
20,0.001,16:31:45,0.26543688303322677
21,0.001,16:31:59,0.2587771449640987
22,0.001,16:32:12,0.2549159447889325
23,0.001,16:32:25,0.24234374440560832
24,0.001,16:32:38,0.23628690359073679
25,0.001,16:32:52,0.2230237866130379
26,0.001,16:33:06,0.22533933832949282
27,0.001,16:33:20,0.22212520547112205
28,0.001,16:33:33,0.21280652230663213
29,0.001,16:33:46,0.20898328602766403
30,0.001,16:33:59,0.199323290962535
31,0.001,16:34:13,0.19634216209987837
32,0.001,16:34:26,0.19203228840532557
33,0.001,16:34:39,0.18767151763046527
34,0.001,16:34:53,0.18126793027367116
35,0.001,16:35:06,0.18224778123539245
36,0.001,16:35:20,0.17971402182845206
37,0.001,16:35:33,0.17597836845570317
38,0.001,16:35:46,0.17444804115933682
39,0.001,16:35:59,0.17052875374603468
40,0.001,16:36:12,0.16471802668526986
41,0.001,16:36:26,0.1625978820306319
42,0.001,16:36:39,0.15687740444642204
43,0.001,16:36:52,0.15807940542773308
44,0.001,16:37:06,0.15310062816605716
45,0.001,16:37:19,0.154945245283614
46,0.001,16:37:33,0.14816742861887308
47,0.001,16:37:46,0.14804685874774365
48,0.001,16:37:59,0.14303098536749795
49,0.001,16:38:13,0.14517777285772476
